switch_index,G_N_US,G_N_W,nu_b_eff,xi_W_seed,xi_W_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
35,1.023520234292626,1.0384428800492367,0.1,1.0,0.06162897511588665,true,5.251753697311115e-16,1.0023274939814202,1.0023274948347562,-8.53336068473709e-10,-8.513546829319596e-10
36,1.023485146446999,1.0384514005013503,0.1,1.0,0.061524709001401626,true,1.3093051937657256e-16,1.0023240577958168,1.0023240585070579,-7.112410660425894e-10,-7.095918783117661e-10
37,1.0234480376822583,1.038460421934475,0.1,1.0,0.061414473721246206,true,2.220446049250313e-16,1.002320423584352,1.0023204243770454,-7.926934664226337e-10,-7.908582781712692e-10
38,1.023408885131525,1.0384699516544413,0.1,1.0,0.06129820074386849,true,3.2550310859059246e-16,1.0023165890880823,1.0023165899695727,-8.814904361997833e-10,-8.79453048146378e-10
39,1.023367660376831,1.0384799984497373,0.1,1.0,0.06117580475274505,true,1.448494102440634e-16,1.0023125515029945,1.0023125522384875,-7.354929998371063e-10,-7.337961726965048e-10
40,1.0233243309347457,1.038490572251058,0.1,1.0,0.06104720736451884,true,2.220446049250313e-16,1.0023083076253714,1.0023083084419018,-8.165303988505457e-10,-8.146499100303295e-10
41,1.0232788577853522,1.0385016847324637,0.1,1.0,0.06091229325566461,true,1.9365144935837467e-16,1.0023038536096247,1.0023038545148955,-9.052707472534394e-10,-9.031899160863444e-10
42,1.023231196534352,1.0385133490530816,0.1,1.0,0.06077093102134158,true,2.636779683484747e-16,1.002299185081933,1.002299185840201,-7.582681149642667e-10,-7.565287255158204e-10
43,1.0231812989779192,1.0385255795000363,0.1,1.0,0.06062299718912338,true,2.5672674239432526e-16,1.0022942972933444,1.0022942981338445,-8.405001139522028e-10,-8.385761768141264e-10
44,1.0231291102608397,1.0385383921877829,0.1,1.0,0.060468331049936784,true,1.3877787807814457e-16,1.0022891848412079,1.0022891857721168,-9.309089055165032e-10,-9.287826892127871e-10
45,1.023074570108258,1.0385518047870768,0.1,1.0,0.06030675584712519,true,1.9143399500155458e-16,1.0022838417895945,1.0022838425737601,-7.84165621325883e-10,-7.823787689757722e-10
46,1.0230176144987992,1.0385658361449197,0.1,1.0,0.06013810325816716,true,2.220446049250313e-16,1.0022782618329729,1.0022782627021192,-8.69146310478186e-10,-8.671706486565456e-10
47,1.022958172434916,1.038580507088903,0.1,1.0,0.05996216683352717,true,2.854777372510937e-16,1.0022724379795553,1.0022724389424778,-9.629224084761745e-10,-9.607392008684212e-10
