t,evidence_window,Y_US,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
26,false,6.091523729092685,0.0693597872921381,0.011386278766490012,-0.010055720688348094,0.003640530957095257,-0.020131192035749843,-0.016490661078654587,0.07170696330709624,-0.03357300940698561,-0.002535954783267097,0.035597999116843526,4.163336342344337e-17,-0.003917591034768617,-0.05470771213279505,-0.058625303167563675,0.14556770834812732,-0.08633903560964293,-0.010659090259268861,0.04856958247921556,7.119415244546658e-18
27,false,6.41573796435364,0.09138765568125251,0.014244293671127116,-0.006114151328348115,0.004107935090507542,-0.021084255678611233,-0.01697632058810369,0.07676349978806185,-0.0351073838832862,-0.00265192692755728,0.03900418897721837,-2.671474153004283e-16,-0.0030793283280010964,-0.055229434909691205,-0.0583087632376923,0.15017643406472742,-0.0874480334395838,-0.01053378871579941,0.05219461190934421,-3.4879748774707476e-17
28,false,6.763971970074626,0.11660370480937421,0.017238939682963788,-0.002071378138607213,0.004611674696552601,-0.02210607002294451,-0.01749439532639191,0.0822080822933433,-0.0367205674109158,-0.002777070427914252,0.04271044445451325,3.608224830031759e-16,-0.002238993453715711,-0.055654230086748184,-0.057893223540463896,0.15459861990855192,-0.088374735747275,-0.010402038759420265,0.05582184540185665,2.0260751405901492e-17
29,false,7.138109750862628,0.14530655378964918,0.02035644713533427,0.002058262736788954,0.005156842431258521,-0.0232017098631947,-0.01804486743193618,0.08807631018651278,-0.038417670477552235,-0.0029109232967492182,0.04674771641221133,-1.734723475976807e-16,-0.0013992004717562855,-0.05598756199254948,-0.05738676246430577,0.1588343527112572,-0.08912470221657644,-0.010264625293586046,0.059445025201094716,-5.10347896950037e-18
30,false,7.540221219402556,0.1778290855711191,0.023584067416155895,0.0062617044936675425,0.005749059598237613,-0.024376716359091645,-0.018627656760854032,0.09440747403811496,-0.04020417275080618,-0.003053112744984987,0.051150188542323796,1.457167719820518e-16,-0.0005621303154489356,-0.05623470004487906,-0.056796830360327996,0.1628844141519243,-0.08970374462558162,-0.0101221346723472,0.06305853485399551,1.4493948626509683e-17
31,false,7.972581608561708,0.21454220268701696,0.026910003963662332,0.01052704861854894,0.006394569838915562,-0.025637138824746657,-0.019242568985831095,0.10124497601608821,-0.042085953037632795,-0.0032033368767265813,0.05595568610172884,1.214306433183765e-16,0.00027042468953629125,-0.056400704244531696,-0.0561302795549954,0.16675018923440255,-0.09011786482709044,-0.009974996233767778,0.0666573281735443,2.893896025562767e-17
32,false,8.43769331697284,0.25585906323952123,0.030323342367142923,0.014843466105747966,0.007100332300346672,-0.026989601040293795,-0.019889268739947123,0.10863682369604585,-0.04406931792604389,-0.0033613764775503596,0.0612061292924516,-2.0469737016526324e-16,0.0010970196307117702,-0.05649041752339737,-0.0553933978926856,0.1704335843443949,-0.0903732004712076,-0.009823519874753757,0.07023686399843355,3.0838821893786857e-18
33,false,8.938310521080904,0.30223991139858986,0.033813986511853716,0.01920110769428679,0.007874144121267457,-0.028441347827986584,-0.020567203706719127,0.11663616553343834,-0.046161039962193916,-0.0035270737054566292,0.06694805186578778,-3.469446951953614e-17,0.0019165209451506725,-0.05650846041283894,-0.054591939467688255,0.17393695122552724,-0.09047597839706213,-0.009667925666490067,0.07379304716197504,-9.70386669765769e-19
34,false,9.477466902159575,0.35419752394945303,0.03737259413364388,0.023591016226093883,0.008724760349832812,-0.03000032742678618,-0.02127556707695337,0.12530191685802883,-0.04836839535353456,-0.003700341876678004,0.07323317962781627,2.7755575615628914e-16,0.0027280728009562876,-0.05645923105708976,-0.05373115825613347,0.17726301925877283,-0.09043247460666815,-0.00950837016987738,0.07732217448222732,2.837067557736725e-17
35,false,10.058506930906574,0.41230342671148645,0.04099051972063666,0.028005048877344566,0.009662054318722454,-0.031675247674131886,-0.02201319335540943,0.13469945544403172,-0.050699207306972256,-0.0038811520196166405,0.08011909611744283,2.0816681711721685e-17,0.0035310682033070154,-0.0563469056821535,-0.05281583747884648,0.18041483352463794,-0.09024898014264612,-0.009344967025800817,0.08082088635619102,2.880137404866472e-17
