sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,branch_iters,warm_start_T,seed_kind,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,90,60,80,horizon,ok,1.637415885925293,true,3.53760352594985e-7,9.809553456138072e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,100,60,90,horizon,error,25.55433416366577,,,,false,"DomainError with -518906.2932974084:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar."
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,30,60,30,parameter,ok,0.41840386390686035,true,1.7200510715778548e-7,9.042619861162212e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,45,60,30,horizon,ok,0.6770789623260498,true,5.437356596901489e-7,9.046066303703523e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,60,60,45,horizon,ok,0.8519039154052734,true,2.058211002962358e-7,9.046068712260855e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,70,60,60,horizon,ok,1.0172808170318604,true,2.1497534268698861e-7,9.046068712260855e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,80,60,70,horizon,ok,1.2747058868408203,true,2.635879551653605e-7,9.046068712260855e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,90,60,80,horizon,error,27.694087028503418,,,,false,"DomainError with -62698.75365688809:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar."
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,30,60,30,parameter,ok,0.418842077255249,true,9.699575717168763e-7,9.85117494659723e-10,true,
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,45,60,30,horizon,ok,0.6746170520782471,true,1.4252786389344566e-6,9.946167715002752e-10,true,
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,60,60,45,horizon,ok,2.1087758541107178,true,1.7439051764796045e-6,9.945728154068885e-10,true,
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,70,60,60,horizon,error,42.372496128082275,,,,false,"DomainError with -167.85637993357162:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar."
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,30,60,30,parameter,ok,0.39973902702331543,true,1.8570700528147756e-6,9.627607374696835e-10,true,
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,45,60,30,horizon,ok,0.6788840293884277,true,2.0921393434282746e-6,9.63003834915005e-10,true,
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,60,60,45,horizon,ok,6.9254209995269775,true,6.136015354551309e-6,9.630044400202817e-10,true,
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,70,60,60,horizon,error,104.41402506828308,,,,false,"DomainError with -126.99293010365899:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar."
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,30,60,30,parameter,ok,0.36756396293640137,true,1.4776565313548894e-7,9.341453096885054e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,45,60,30,horizon,ok,0.6877908706665039,true,1.6943215204616173e-7,9.343085043282885e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,60,60,45,horizon,ok,0.834028959274292,true,1.9650359466836758e-7,9.343088647704072e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,70,60,60,horizon,ok,1.0034821033477783,true,2.388583468576333e-7,9.343088647704072e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,80,60,70,horizon,ok,1.2602221965789795,true,2.5828755713260925e-7,9.343088647704072e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,90,60,80,horizon,error,32.968961000442505,,,,false,"DomainError with -1346.6064435652593:
Exponentiation yielding a complex result requires a complex argument.
Replace x^y with (x+0im)^y, Complex(x)^y, or similar."
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,30,60,30,parameter,ok,0.20424604415893555,true,1.1950008586491468e-7,9.963758586965691e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,45,60,30,horizon,ok,0.4742851257324219,true,1.6174008333139023e-7,9.964192457040666e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,60,60,45,horizon,ok,0.6410770416259766,true,1.967809149513246e-7,9.964192457040666e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,70,60,60,horizon,ok,0.7498340606689453,true,1.8985904707891556e-7,9.964192457040666e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,80,60,70,horizon,ok,1.124812126159668,true,2.3987226843728363e-7,9.964192457040666e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,90,60,80,horizon,ok,1.5188820362091064,true,3.20546364844629e-7,9.964192457040666e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,100,60,90,horizon,ok,1.932814121246338,true,4.852940794800533e-7,9.964192457040666e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,103,60,100,horizon,ok,1.7861878871917725,true,4.7242568213367573e-7,9.964192457040666e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,104,60,103,horizon,ok,1.5407729148864746,true,5.480618296173723e-7,9.964192457040666e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,60,104,horizon,ok,1.5837669372558594,true,5.027025501486844e-7,9.964192457040666e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,30,60,30,parameter,ok,0.17738699913024902,true,1.3181755672092176e-7,9.797048576989692e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,45,60,30,horizon,ok,0.4252469539642334,true,1.2999560131841906e-7,9.797097326940517e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,60,60,45,horizon,ok,0.5667128562927246,true,1.4983012114681813e-7,9.797097326940517e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,70,60,60,horizon,ok,0.6399219036102295,true,1.8904571436887865e-7,9.797097326940517e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,80,60,70,horizon,ok,0.9109230041503906,true,2.4015942372854466e-7,9.797097326940517e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,90,60,80,horizon,ok,1.277204990386963,true,2.6088512793760677e-7,9.797097326940517e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,100,60,90,horizon,ok,1.7165110111236572,true,4.291207225063072e-7,9.797097326940517e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,103,60,100,horizon,ok,1.5768439769744873,true,4.7468087483038203e-7,9.797097326940517e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,104,60,103,horizon,ok,1.4082670211791992,true,4.6581527255811104e-7,9.797097326940517e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,105,60,104,horizon,ok,1.4102728366851807,true,5.209298489660482e-7,9.797097326940517e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,30,60,30,parameter,ok,0.17340803146362305,true,1.0003420549944677e-7,9.979716790549872e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,45,60,30,horizon,ok,0.372089147567749,true,1.1514680188848275e-7,9.979745628888796e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,60,60,45,horizon,ok,0.5063328742980957,true,1.2487550915508308e-7,9.979745628888796e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,70,60,60,horizon,ok,0.5688128471374512,true,1.7803721116329143e-7,9.979745628888796e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,80,60,70,horizon,ok,0.7389638423919678,true,1.9838965430465235e-7,9.979745628888796e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,90,60,80,horizon,ok,1.0560250282287598,true,2.327675938345887e-7,9.979745628888796e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,100,60,90,horizon,ok,1.4041399955749512,true,3.0603983084732414e-7,9.979745628888796e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,103,60,100,horizon,ok,1.269256830215454,true,3.581667888274946e-7,9.979745628888796e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,104,60,103,horizon,ok,1.1182808876037598,true,3.8189935328230336e-7,9.979745628888796e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,105,60,104,horizon,ok,1.1096758842468262,true,4.275925886361971e-7,9.979745628888796e-10,true,
