t,evidence_window,Y_US,e_US,q_US,q_W,n_W,n_US_star,bond,asset_position,liability_position,foreign_liability_exposure_Y,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
49,false,25.617565726384328,25.75169602468979,2.48751152574414,2.470682124691647,2.611149956191987,1.4828748293874432,-0.3478929497288476,6.451321521652919,3.68866822933714,0.14398980249470253,2.414760342586932,0.09426189702715958,0.08916326861439766,0.04219873012191655,-0.07495503606694702,-0.03275630594503047,0.40456652906791285,-0.102516423165239,-0.007309205734701063,0.2947409001679728,9.853229343548264e-16,0.01394130681770382,-0.05001348275164725,-0.03607217593394342,0.20831530238699097,-0.07636893506036656,-0.006710922778283299,0.1252354445483411,8.464521446460862e-18
50,false,27.60327859645062,27.753937038336836,2.541667319364505,2.488775726666022,2.788324362083827,1.5254524139389933,-0.35552591192791305,6.939513990425749,3.8771925477544342,0.14046130550060762,2.706795530743402,0.098060653240353,0.09332880778141776,0.04724510800274492,-0.08030626322514056,-0.03306115522239564,0.440947360770085,-0.10821805519215401,-0.007632962199065452,0.32509634337886556,3.0531133177191805e-16,0.014649978998109332,-0.049324935806572115,-0.034674956808462776,0.20930406115682765,-0.07479561753293135,-0.006504679034015733,0.12800376458988053,1.891629519459185e-17
51,false,29.777743587456676,29.9469230647454,2.598129162992077,2.507772553220845,2.980196122733916,1.5694476366001269,-0.3634960638892849,7.473654039807295,4.077627674439781,0.1369354149505608,3.0325303014782294,0.1018388210836642,0.09745250994176298,0.05296931428509345,-0.08612985565712551,-0.03316054137203206,0.48117073509645264,-0.11430527102822093,-0.007970151961371852,0.3588953121068599,-5.551115123125783e-16,0.015359013508152745,-0.048615496880286733,-0.03325648337213398,0.2101787540817312,-0.07317241929979937,-0.006297341468034839,0.13070899331389696,-1.1068584141292363e-18
52,false,32.162067992640765,32.35202873471659,2.6570505772758923,2.52772882637586,3.1881716737028265,1.6149151867400866,-0.37181756558112555,8.058833443053606,4.290911329179353,0.13341528070151418,3.3961045482931285,0.10559347580106528,0.10153234240291979,0.059473607880795046,-0.09247407439287116,-0.03300046651207611,0.5257057953655164,-0.12080958034670058,-0.00832150169184065,0.3965747133269752,-5.551115123125783e-17,0.01606956287764551,-0.04788665564736878,-0.03181709276972326,0.21094274296960006,-0.07150408115722558,-0.0060892266397313795,0.13334943517264305,-2.7507838518052018e-18
53,false,34.78008638175879,34.993395532665545,2.7185972906369096,2.548705487877264,3.4138103238886273,1.6619120455673435,-0.3805053484611794,8.700797107067004,4.518069584356224,0.1299039207310833,3.8022221742496,0.10932181514775541,0.10556637742271162,0.06687719800762877,-0.09939272210064574,-0.03251552409301697,0.5750864660057686,-0.12776553307622596,-0.00868778288005384,0.43863315004948883,-2.498001805406602e-16,0.016782809722882645,-0.04713980807797482,-0.030356998355092178,0.21159928204801748,-0.06979524508252423,-0.00588066118768941,0.1359233757778038,-9.725998782823361e-18
54,false,37.65875841747468,37.898336096794495,2.7829484240008933,2.570768583987282,3.6588426398915432,1.7104976076339296,-0.3895751845903668,9.40603771238627,4.7602266214221425,0.1264042369281423,4.256235906373761,0.11302114263009672,0.10955277420885504,0.07531922527732608,-0.10694592368351505,-0.031626698406188966,0.6299213800419404,-0.13521111338240321,-0.00906983612918738,0.48564043053034983,2.0816681711721685e-16,0.01749996082882009,-0.046376263956822324,-0.028876303128002236,0.2121515159746438,-0.06805045822220898,-0.005671980415577516,0.13842907733685728,-3.454820768543677e-18
55,false,40.828631215338206,41.097804195715405,2.850297746472646,2.593989711726954,3.925191240736731,1.7607337981672246,-0.3990437245568521,10.181905695031837,5.0186155770542635,0.12291902588125232,4.764246393420721,0.116688859058075,0.11348976948317711,0.08496245232028064,-0.11520085496369949,-0.030238402643418844,0.6909055303252858,-0.14318810066842147,-0.009468539966485334,0.538248889690379,-4.163336342344337e-16,0.018222243247983046,-0.04559725173738692,-0.027375008489403874,0.21260247919000716,-0.06627417541346613,-0.005463525803959991,0.140864777972581,-1.3383693713626442e-17
56,false,44.32437758413973,44.62694196754626,2.920855076433495,2.6184465040476925,4.214994335367111,1.812685204830032,-0.40892856948495593,11.036737182022838,5.294590782503689,0.11945098997618443,5.333217830034193,0.12032245280625303,0.1173756669606899,0.09599758699388053,-0.1242326755705035,-0.028235088576622977,0.7588338999971211,-0.15174252987892156,-0.00988484492810382,0.5972065251900958,-8.465450562766819e-16,0.018950899759109834,-0.04480392414804749,-0.025853024388937662,0.21295509678380828,-0.06447076197542564,-0.005255643458754994,0.1432286913496276,-3.1427016624545156e-17
57,false,48.18542380214432,48.52571834969623,2.994847845913956,2.644223154620629,4.530632380718367,1.8664192284199714,-0.41924833044521076,11.98000304616949,5.589641605805939,0.11600274864775999,5.97111310991834,0.1239194893135425,0.12120882625048306,0.10864843614966446,-0.1341255985016303,-0.025477162351965843,0.8346174279969871,-0.16092522480062002,-0.010319760960254831,0.6633724422361122,8.881784197001252e-16,0.019687183338406494,-0.0439973643979136,-0.024310181059507115,0.21321218608545953,-0.06264449668703038,-0.005048682088438938,0.14551900730999018,-1.0476291203373962e-17
58,false,52.456683276707565,52.839675347476806,3.072522799774968,2.6714110105834816,4.874758318503623,1.9220062391813806,-0.4300226987271505,13.022483045983998,5.905407991194532,0.1125768466916535,6.687052356062316,0.12747760510873893,0.12498765644405971,0.12317818058760724,-0.14497402745282686,-0.021795846865219626,0.9193018192269006,-0.1707923579357661,-0.010774368281939728,0.7377350930091948,7.771561172376096e-16,0.02043235268164882,-0.04317859109002046,-0.022746238408371637,0.2133764597066411,-0.06079957367583934,-0.004842991178370403,0.14773389485243135,5.19193301436371e-18
59,false,57.1894155004643,57.62080197602862,3.154147899293396,2.700109211106416,5.250331895814388,1.979519756357339,-0.44127253369615926,14.176469513254242,6.2436980811242755,0.10917576314577974,7.491498898433807,0.13099450016888153,0.1287106081700679,0.13989679172526043,-0.1568839505482197,-0.016987158822959286,1.0140896755449835,-0.18140613938152392,-0.011249834969008776,0.8214337011944508,-2.498001805406602e-16,0.021187666185094368,-0.042348564091763234,-0.021160897906668866,0.21345052986216137,-0.058940104380442726,-0.004638919404981853,0.14987150607673677,3.943283034168343e-19
60,false,62.442233740842205,62.92855977255656,3.240014417750177,2.730425400233559,5.66065864041649,2.039036648364997,-0.4530199343883632,15.456006133844749,6.606508139023589,0.10580191872127735,8.396478060432797,0.13446793231775162,0.1323761678075255,0.15917005473377943,-0.16997446969482063,-0.010804414961041203,1.1203665658567281,-0.19283558820449248,-0.011747400692203924,0.9157835769600317,-1.1379786002407855e-15,0.02195437634995453,-0.041508189923888404,-0.019553813573933876,0.21343691294344108,-0.05707011895263923,-0.004436812609342457,0.15192998138145938,-1.7863345499177882e-17
