sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,18,17,-0.033316882848402056,-0.054943113906646066,-0.009494856676100252,-0.045448257230545824,0.021626231058244,0.10270073250177796,-0.07024794271388586,-0.010826558729648102,1.3395823514107934,0.9508457611067224,0.2743008066227129,0.22295988751347498
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,19,18,-0.030961943517019714,-0.055824779029295855,-0.008858257955624766,-0.0469665210736711,0.024862835512276183,0.1087042763364678,-0.072932381856446,-0.010909058967745624,1.3610024295982,0.9517142377832817,0.273378089719004,0.22268306039550192
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,20,19,-0.028338129623963235,-0.05652198398437381,-0.008176668981984596,-0.04834531500238923,0.028183854360410588,0.11455621886667991,-0.07541214077187547,-0.01096022373439386,1.3827104869344649,0.9528076002574333,0.27244725505315975,0.22212042134209933
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,21,20,-0.02547223753034344,-0.05704742193017124,-0.007458033710526986,-0.04958938821964425,0.03157518439982781,0.12024659003522097,-0.07768743522110261,-0.010983970414290568,1.4047344927694536,0.9541143137982735,0.27151398549953815,0.22129091190440656
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,22,21,-0.022389196559973533,-0.057413246173354734,-0.006709390934520991,-0.050703855238833744,0.03502404961338119,0.12576727545582145,-0.07975948533531226,-0.010983740507128012,1.4271032473381544,0.9556247509641032,0.27058317597084336,0.22021274134046542
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,23,22,-0.019112116744601206,-0.05763101893123944,-0.005936947638732737,-0.0516940712925067,0.03851890218663822,0.13111182212315697,-0.08163040075962802,-0.010962519176890737,1.449846374450551,0.9573309850215352,0.2696589881699328,0.2189033381244381
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,24,23,-0.015662360031008786,-0.05771168197821831,-0.005146150489990696,-0.05256553148822762,0.04204932194720953,0.13627526148343477,-0.08330306967793552,-0.010922869858289741,1.4729943553830243,0.959226612006155,0.2687449126431455,0.21737932202262275
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,25,24,-0.012059621586859104,-0.05766554072603101,-0.004341753167995491,-0.053323787558035504,0.045605919139171905,0.1412539459770195,-0.08478105377013173,-0.010866973067715866,1.4965785797277813,0.9613066025049217,0.26784383262277817,0.2156564903117895
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,26,25,-0.008322018047926137,-0.05750225909851864,-0.0035278792052150618,-0.053974379893303566,0.04918024105059249,0.14604539886311219,-0.0860684902684401,-0.010796667544079567,1.520631410664833,0.9635671791333107,0.26695808771204027,0.213749815761639
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,27,26,-0.004466182561918103,-0.05723086523397363,-0.0027080810233720224,-0.05452278421060161,0.05276468267205553,0.15064817730177796,-0.0871700017952864,-0.010713492834436001,1.5451862734384465,0.9660057131470526,0.26608953557614917,0.21167345574365332
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,28,27,-0.0005073633481581946,-0.05685976586195971,-0.0018853951436900176,-0.05497437071826969,0.05635240251380149,0.15506174871647335,-0.08809061380436133,-0.010618732398310524,1.5702777665442,0.9686206370815871,0.26523961108902655,0.20944076980434884
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,29,28,0.0035404810073839206,-0.05639676373665045,-0.0010623922484462995,-0.05533437148820415,0.05993724474403437,0.15928637673174476,-0.08883568037094443,-0.01051345161676594,1.5959417772382325,0.9714113761585834,0.26440938050116136,0.2070643421229689
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,30,29,0.007664584870933348,-0.05584908171747835,-0.0002412240576177944,-0.05560785765986056,0.0635136665884117,0.16332301942651917,-0.08941081732258599,-0.010398535515521449,1.622215623807124,0.9743782897137316,0.2635995921297227,0.2045560099008122
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,31,30,0.011853285684661508,-0.05522338623118543,0.000576335037855942,-0.055799721269041376,0.06707667191584694,0.16717323518517077,-0.08982184334402618,-0.010274719925297602,1.649138196428462,0.9775226293913476,0.262810721455975,0.20192689343109257
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,32,31,0.016095934248401975,-0.054525815638179605,0.0013888489394513167,-0.055914664577630925,0.07062174988658158,0.1708390993810342,-0.09007472770462771,-0.010142621789824884,1.6767501269416059,0.9808465036978179,0.2620430124605436,0.19918743010977857
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,33,32,0.02038281303095032,-0.05376200623465038,0.002195185620620092,-0.055957191855270476,0.07414481926560068,0.17432312735522,-0.0901755449866885,-0.01000276310293076,1.7050939570486225,0.9843528571001127,0.2612965137178823,0.1963474082136931
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,34,33,0.02470505299250191,-0.05293712361359153,0.0029944843163363885,-0.05593160792992792,0.07764217660609342,0.17762820666423634,-0.09013043588030771,-0.009855594177835202,1.7342143477937373,0.9880454506794251,0.26057111022175244,0.19341600466039316
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,35,34,0.029054563535535385,-0.052055887602425084,0.003786128061662458,-0.05584201566408754,0.0811104511379605,0.18075753497654062,-0.08994557290666355,-0.009701510931916554,1.7641582726797762,0.9919288597596769,0.2598665520684888,0.19040181824677338
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,36,35,0.03342396228618809,-0.051122599951384316,0.00456971791323045,-0.05569231786461477,0.0845465622375724,0.18371456414236145,-0.08962713200425962,-0.009540869900529414,1.7949752446564213,0.996008475012793,0.2591824783998249,0.18731290572324996
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,37,36,0.037806509808821255,-0.0501411714503832,0.005345049601653138,-0.055486221052036336,0.08794768125920446,0.18650295112324627,-0.08918126811730534,-0.009374001746736431,1.8267175632164212,1.000290510247683,0.2585184389501682,0.1841568168076806
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,38,37,0.04219604878412228,-0.04911514801207318,0.006112092559437676,-0.055227240571510856,0.09131119679619547,0.18912651314440324,-0.08861409526689766,-0.009201221081310046,1.8594405828392775,1.0047820172521198,0.25787391156771106,0.18094062873083905
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,39,38,0.04658695119869041,-0.04804773314042391,0.006870972014583456,-0.054918705155007366,0.09463468433911436,0.1915891880047187,-0.08793166951769953,-0.009022834147904776,1.8932029882247745,1.0094909113331745,0.2572483183221737,0.17767097742069898
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,40,39,0.05097406767479879,-0.04694181051826662,0.007621952563436943,-0.05456376308170356,0.09791587819306538,0.1938949989440336,-0.08713997542394278,-0.008839145327025419,1.9280671005251073,1.01442600209371,0.25664103906576596,0.1743540886803205
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,41,40,0.055352678354256994,-0.045799967225358014,0.00836542272996574,-0.05416538995532375,0.101152645579615,0.19604802320450684,-0.08624491571959281,-0.008650461905299028,1.9640992225366005,1.019597028031255,0.25605142189724617,0.1709958096202285
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,42,41,0.05971845029648313,-0.04462451386273918,0.009101881771548408,-0.0537263956342876,0.1043429641592223,0.19805236459287678,-0.08525230282299529,-0.008457097610659159,2.0013700023492933,1.025014700914655,0.2554787928124577,0.16760163687584598
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,43,42,0.06406740025861365,-0.04341750200774948,0.009831928497152568,-0.05324943050490205,0.10748490226636312,0.19991212925838645,-0.0841678522125153,-0.008259374779508017,2.0399548186124794,1.0306907601577402,0.25492246432306087,0.1641767423312102
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,44,43,0.06839585625048479,-0.04218074352538104,0.010556250150105407,-0.05273699367548645,0.11057659977586584,0.20163140411356356,-0.082997178511365,-0.008057625826332722,2.0799342223235247,1.0366380299994442,0.2543817412465932,0.1607260001937319
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,45,44,0.07270042642447436,-0.04091582614920571,0.011275613360152542,-0.052191439509358256,0.11361625257368006,0.2032142385959054,-0.08174579212127799,-0.007852193900947362,2.1213943991234934,1.0428704887924345,0.2538559268537382,0.15725400996374603
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,46,45,0.07697796674109772,-0.03962413059674235,0.011990855044921988,-0.051614985641664335,0.11660209733784006,0.20466462888590803,-0.08041909791507697,-0.00764343363299102,2.164427694791217,1.0494033425291445,0.2533443270189047,0.15376512033920944
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,47,46,0.08122555554051177,-0.03830684384363535,0.012702875318768951,-0.05100971916240431,0.11953239938414711,0.20598650384564382,-0.0790223944436022,-0.007431710017894552,2.2091331676142496,1.0562531124608183,0.2528462540972987,0.15026344943087402
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,48,47,0.0854404691341616,-0.03696497237776421,0.013412630818465481,-0.05037760319622969,0.12240544151192581,0.20718371382562314,-0.07756087406195646,-0.007217398251740951,2.255617199295295,1.0634377314172232,0.25236103061723214,0.1467529042383135
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,49,48,0.08962015712823113,-0.03559935658287198,0.014121127762434463,-0.049720484345306445,0.1252195137111031,0.20826002075922953,-0.07603962441047069,-0.007000882637655808,2.303994180683497,1.0709766468457407,0.2518879908989698,0.14323720051079464
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,50,49,0.09376222230098256,-0.034210682776925586,0.014829416197110814,-0.049040098974036404,0.12797290507790815,0.20921909046785014,-0.0744636298439368,-0.006782555546005246,2.3543872508153445,1.078890938186989,0.25142648328808387,0.13971987974969932
