sweep_kind,sweep_value,case_id,label,omega_bar,omega_bar_star,T_max,t,model_t,US_NFA_change_current_Y,cum_VA_current_Y,cum_VA_RoW_equity_asset_current_Y,cum_VA_US_equity_liability_current_Y,cum_CA_current_Y,cum_CA_RoW_equity_quantity_current_Y,cum_CA_US_equity_liability_quantity_current_Y,cum_CA_bond_position_current_Y,US_equity_price_index,RoW_equity_price_index,US_held_RoW_equity_current_Y,foreign_held_US_equity_claim_current_Y
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,62,61,0.13952921727511275,-0.016272858903649445,0.023526930726870766,-0.039799789630520215,0.15580207617876218,0.21315624529551266,-0.05331431534041982,-0.004039853776330635,3.180861209789562,1.2079581758928437,0.2468139687285519,0.09914537161917726
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,63,62,0.1430138269424497,-0.014598166613530862,0.024335191236562227,-0.038933357850093095,0.15761199355598057,0.21289381131299556,-0.051436152899744125,-0.003845664857270801,3.2742765719382696,1.2234716761961009,0.24646365622884636,0.0958672699439427
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,64,63,0.14643528149254156,-0.01290011268828212,0.025159665621836736,-0.03805977831011886,0.15933539418082365,0.21255294147491494,-0.04956278341849399,-0.0036547638755972623,3.3729750579320292,1.2399141398548452,0.24611630060765674,0.09262561705354
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,65,64,0.14979220297992024,-0.011178301491193433,0.026001470555032217,-0.037179772046225655,0.1609705044711136,0.21213578883319983,-0.047697825944883934,-0.0034674584172022446,3.4773727063976376,1.257356251978936,0.2457715853510391,0.08942261800057182
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,66,65,0.15308323696270865,-0.00943237144451739,0.026861668799607608,-0.036294040244125,0.162515608407226,0.21164446349262725,-0.04584481147822679,-0.0032840436071743836,3.587924221045233,1.2758749903422024,0.24542922246629123,0.08626044458093443
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,67,66,0.15630705544373014,-0.007662010186546374,0.027741259389937257,-0.03540326957648363,0.16396906563027647,0.21108104500882036,-0.044007178588840394,-0.0031048007897034467,3.70512698757117,1.2955542357115426,0.24508895366950678,0.08314123546293169
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,68,67,0.15946235734343064,-0.0058669732485269995,0.02864116530185867,-0.03450813855038567,0.16532933059195767,0.21044759534543167,-0.0421882688419427,-0.0029299959115312775,3.8295255841583775,1.3164854357446307,0.24475054949991104,0.08006709705764752
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,69,68,0.16254787351754368,-0.00404710047412392,0.029562222358285976,-0.0336093228324099,0.1665949739916676,0.20974617279824714,-0.04039132054296165,-0.0027598782636178805,3.9617167595548537,1.338768349835028,0.24441381053413078,0.07704010162759237
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,70,69,0.1655623696526631,-0.0022023357388143852,0.030505165656506534,-0.03270750139532092,0.16776470539147748,0.20897884655901494,-0.03861946221644867,-0.002594678951088758,4.102355018517961,1.3625118618292467,0.2440785667028644,0.07406228591543763
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,71,70,0.16850465054837113,-0.00033274617295216315,0.03147061619623712,-0.031803362369189285,0.16883739672132328,0.208147711575126,-0.0368757050573024,-0.002434609796500271,4.252158843648581,1.3878348833943244,0.2437446770591639,0.07113564842269911
