T_report,n_buffer,t,solved_terminal,periods_to_terminal,q_US,v_US,fundamental_share,bubble_share,baseline_bubble_share,bubble_share_error,log_q_error,phi_error
45,0,29,45,16,2.0216286770254324,1.5613719796577101,0.7723337116265431,0.22766628837345693,0.17508632801286408,0.05257996036059284,-2.7677665956904463e-5,6.781877166739392e-6
45,0,30,45,15,2.140794037997089,1.5860317238402106,0.7408614260361497,0.2591385739638503,0.19928946130389544,0.05984911265995488,-3.295023909921646e-5,7.84711344781197e-6
45,0,31,45,14,2.2711726968296913,1.6053902337323092,0.7068552012681635,0.2931447987318365,0.22544109412160207,0.06770370461023445,-3.894640723545173e-5,9.00634131983935e-6
45,0,32,45,13,2.4137666962438864,1.6180619229317774,0.6703472731849677,0.32965272681503227,0.25351638936849225,0.07613633744654003,-4.570707048934253e-5,1.0254367474982207e-5
45,0,33,45,12,2.5696570524739424,1.6224613007544424,0.6313921537476819,0.3686078462523181,0.283473375186932,0.08513447106538613,-5.326466806954144e-5,1.1583551621840993e-5
45,0,34,45,11,2.7400092317173748,1.61678216991407,0.5900644973012402,0.4099355026987598,0.31525458676181606,0.09468091593694372,-6.16413925560444e-5,1.298385004261382e-5
45,0,35,45,10,2.9260792270230223,1.5989753644280063,0.5464566200604197,0.45354337993958027,0.3487889749838374,0.1047544049557429,-7.084758886177767e-5,1.4442957703419967e-5
45,0,36,45,9,3.129220355706396,1.56672497250252,0.5006758215813935,0.49932417841860655,0.38399396752776427,0.11533021089084228,-8.087949107316028e-5,1.5946359134599852e-5
45,0,37,45,8,3.3508909093308725,1.5174229502585639,0.4528416446005915,0.5471583553994085,0.4207775776591477,0.1263807777402608,-9.172233056697898e-5,1.747847353678056e-5
45,0,38,45,7,3.59266280981563,1.4481419984854287,0.4030831934822587,0.5969168065177413,0.4590404668538074,0.13787633966393387,-0.00010334356316565874,1.902178655899256e-5
45,0,39,45,6,3.8562314251738017,1.355606497969449,0.35153660361770206,0.6484633963822979,0.4986778929014074,0.14978550348089048,-0.00011569712305870006,2.0558188468244865e-5
45,0,40,45,5,4.143426710333507,1.2361612411135647,0.29834273115791765,0.7016572688420823,0.5395814874549582,0.1620757813871242,-0.00012872349806225536,2.2069362181353913e-5
45,0,41,45,4,4.456225856671948,1.0857376235410032,0.2436451065233634,0.7563548934766365,0.5816408307948974,0.17471406268173917,-0.0001423482433775547,2.353685427014529e-5
45,0,42,45,3,4.796767574293223,0.8998168604559731,0.1875881719344211,0.812411828065579,0.6247448082853886,0.1876670197801904,-0.00015648772229126529,2.4943316255077175e-5
45,0,43,45,2,5.167368228138624,0.6733897564223523,0.13031580616907557,0.8696841938309244,0.6687827452990539,0.20090144853187053,-0.0001710483269685703,2.6272476434052727e-5
45,0,44,45,1,5.570539935781447,0.40091244449731533,0.07197012302561914,0.9280298769743809,0.713645331768251,0.21438454520612993,-0.00018592962679830904,2.7509694796423734e-5
45,0,45,45,0,6.009010791266694,0.07625747807496419,0.01269052107308484,0.9873094789269151,0.7592253532102871,0.22808412571662806,-0.00020102702999036381,2.8642313143700804e-5
45,5,1,50,49,0.8815627703309759,0.8813644562918361,0.999775042633589,0.00022495736641106096,0.00022495736641106096,0.0,0.0,0.0
45,5,2,50,48,0.8882727341781219,0.8879931901373179,0.9996852948086236,0.00031470519137635154,0.00031470519137635154,0.0,0.0,0.0
45,5,3,50,47,0.8963421441111566,0.8959498943303482,0.9995623883319719,0.00043761166802819886,0.00043761166802819886,0.0,0.0,0.0
45,5,4,50,46,0.9057822981253784,0.9052345226145321,0.9993952459526092,0.0006047540473907579,0.0006047540473907579,0.0,0.0,0.0
45,5,5,50,45,0.916620970207799,0.9158597939893257,0.9991695845467067,0.0008304154532932603,0.0008304154532932603,0.0,0.0,0.0
45,5,6,50,44,0.9289026381657384,0.9278503678925138,0.9988671899185232,0.0011328100814767736,0.0011328100814767736,0.0,0.0,0.0
45,5,7,50,43,0.9426887911689039,0.9412418645584405,0.9984651068051109,0.0015348931948891377,0.0015348931948891377,0.0,0.0,0.0
45,5,8,50,42,0.9580583609144432,0.9560797421584112,0.9979347617673902,0.002065238232609844,0.002065238232609844,0.0,0.0,0.0
45,5,9,50,41,0.9751082849070253,0.9724180058194861,0.9972410458108294,0.002758954189170595,0.002758954189170595,0.0,0.0,0.0
45,5,10,50,40,0.9939541510097,0.9903176640309541,0.9963413936396848,0.003658606360315184,0.003658606360315184,0.0,0.0,0.0
45,5,11,50,39,1.014730882825393,1.0098448599067475,0.995184907642664,0.004815092357335914,0.004815092357335914,0.0,0.0,0.0
45,5,12,50,38,1.037593478866664,1.0310686617575007,0.9937115862406052,0.006288413759394752,0.006288413759394752,0.0,0.0,0.0
45,5,13,50,37,1.0627178663311616,1.0540585502745563,0.991851726285077,0.008148273714923035,0.008148273714923035,0.0,0.0,0.0
45,5,14,50,36,1.0903019311073625,1.0788816457550123,0.9895255754149209,0.010474424585079039,0.010474424585079039,0.0,0.0,0.0
45,5,15,50,35,1.1205667745369026,1.1055997124849208,0.9866433108743857,0.013356689125614283,0.013356689125614283,0.0,0.0,0.0
45,5,16,50,34,1.15375821417984,1.1342659475911212,0.9831054146794742,0.016894585320525807,0.016894585320525807,0.0,0.0,0.0
45,5,17,50,33,1.1901485248401669,1.1649215422827846,0.9788035005456397,0.021196499454360355,0.021196499454360355,0.0,0.0,0.0
45,5,18,50,32,1.2300384054835185,1.197591992002439,0.97362162568548,0.026378374314519903,0.026378374314519903,0.0,0.0,0.0
45,5,19,50,31,1.2737591616518047,1.2322831326294597,0.9674380916965817,0.032561908303418305,0.032561908303418305,0.0,0.0,0.0
45,5,20,50,30,1.3216750823300822,1.2689768629426192,0.9601277045379737,0.03987229546202632,0.03987229546202632,0.0,0.0,0.0
45,5,21,50,29,1.3741859937340293,1.3076265083758982,0.9515644274780656,0.04843557252193447,0.04843557252193447,0.0,0.0,0.0
45,5,22,50,28,1.431729979885521,1.3481517781852113,0.9416243266017293,0.05837567339827065,0.05837567339827065,0.0,0.0,0.0
45,5,23,50,27,1.4947862505171647,1.3904332471338419,0.9301886785838317,0.06981132141616826,0.06981132141616826,0.0,0.0,0.0
45,5,24,50,26,1.5638781443133059,1.4343062890242266,0.9171470899057971,0.08285291009420301,0.08285291009420301,0.0,0.0,0.0
45,5,25,50,25,1.6395762670429104,1.4795543914480191,0.9024004684554859,0.09759953154451406,0.09759953154451406,0.0,0.0,0.0
45,5,26,50,24,1.7225017596406655,1.5259017685329639,0.8858636921516325,0.11413630784836742,0.11413630784836742,0.0,0.0,0.0
45,5,27,50,23,1.8133297083701307,1.5730052015219071,0.867467837901231,0.13253216209876892,0.13253216209876892,0.0,0.0,0.0
45,5,28,50,22,1.9127927108984986,1.6204450367997827,0.8471618631579838,0.15283813684201614,0.15283813684201614,0.0,0.0,0.0
45,5,29,50,21,2.0216846317629886,1.6677152931875674,0.8249136719871358,0.17508632801286408,0.17508632801286408,0.0,0.0,0.0
45,5,30,50,20,2.1408645788346656,1.714212830194114,0.8007105386961045,0.19928946130389544,0.19928946130389544,0.0,0.0,0.0
45,5,31,50,19,2.2712611525689494,1.7592255532979146,0.7745589058783979,0.22544109412160207,0.22544109412160207,0.0,0.0,0.0
45,5,32,50,18,2.4138770249697985,1.8019196372198976,0.7464836106315078,0.25351638936849225,0.25351638936849225,0.0,0.0,0.0
45,5,33,50,17,2.5697939280491786,1.8413257697301944,0.7165266248130681,0.283473375186932,0.283473375186932,0.0,0.0,0.0
45,5,34,50,16,2.7401781349076946,1.8763244093336056,0.6847454132381839,0.31525458676181606,0.31525458676181606,0.0,0.0,0.0
45,5,35,50,15,2.9262865400248015,1.9056300572205511,0.6512110250161627,0.3487889749838374,0.3487889749838374,0.0,0.0,0.0
45,5,36,50,14,3.1294734556913824,1.9277745271676254,0.6160060324722357,0.38399396752776427,0.38399396752776427,0.0,0.0,0.0
45,5,37,50,13,3.3511982749504825,1.9410891825613041,0.5792224223408523,0.4207775776591477,0.4207775776591477,0.0,0.0,0.0
45,5,38,50,12,3.593034107576935,1.9436860534131655,0.5409595331461926,0.4590404668538074,0.4590404668538074,0.0,0.0,0.0
45,5,39,50,11,3.8566776058659564,1.9334377437726766,0.5013221070985926,0.4986778929014074,0.4986778929014074,0.0,0.0,0.0
45,5,40,50,10,4.143960101042849,1.9079559457681494,0.4604185125450418,0.5395814874549582,0.5395814874549582,0.0,0.0,0.0
45,5,41,50,9,4.456860237745183,1.8645683463263312,0.41835916920510263,0.5816408307948974,0.5816408307948974,0.0,0.0,0.0
45,5,42,50,8,4.797518268260947,1.8002936375106116,0.3752551917146113,0.6247448082853886,0.6247448082853886,0.0,0.0,0.0
45,5,43,50,7,5.1682521734254045,1.7118142964841607,0.33121725470094615,0.6687827452990539,0.6687827452990539,0.0,0.0,0.0
45,5,44,50,6,5.571575760485039,1.5954467284217482,0.28635466823174904,0.713645331768251,0.713645331768251,0.0,0.0,0.0
45,5,45,50,5,6.01021888628505,1.447108329474145,0.24077464678971297,0.7592253532102871,0.7592253532102871,0.0,0.0,0.0
45,20,1,65,64,0.8815629774228618,0.8814449224764525,0.99986608450056,0.00013391549943998684,0.00022495736641106096,-9.104186697107413e-5,2.349144821167659e-7,-8.845821108938168e-8
45,20,2,65,63,0.8882730289869115,0.8881066183834662,0.999812658272834,0.00018734172716590444,0.00031470519137635154,-0.0001273634642104471,3.3188989072285846e-7,-1.2370194657496114e-7
45,20,3,65,62,0.8963425635341576,0.8961090599767562,0.9997394929495697,0.000260507050430281,0.00043761166802819886,-0.00017710461759791788,4.6792723695787686e-7,-1.728862122352126e-7
45,20,4,65,61,0.9057828937189948,0.9054568067481878,0.99963999433742,0.0003600056625799405,0.0006047540473907579,-0.00024474838481081736,6.575458825486269e-7,-2.4101303786050465e-7
45,20,5,65,60,0.9166218137335719,0.9161686907455304,0.9995056598247474,0.0004943401752526277,0.0008304154532932603,-0.00033607527804063253,9.202553860193641e-7,-3.347157820909885e-7
45,20,6,65,59,0.9289038291058245,0.9282774197323487,0.9993256466882273,0.0006743533117727489,0.0011328100814767736,-0.0004584567697040247,1.2820927336454346e-6,-4.6272041964723343e-7
45,20,7,65,58,0.9426904668535335,0.941829121080994,0.9990862899299126,0.0009137100700874127,0.0015348931948891377,-0.0006211831248017249,1.7775570856359835e-6,-6.364075240128386e-7
45,20,8,65,57,0.9580607100905527,0.9568828512616627,0.998770580176721,0.001229419823279013,0.002065238232609844,-0.0008358184093308313,2.4520147469744846e-6,-8.704851442997708e-7
45,20,9,65,56,0.9751115658104711,0.9735100597666781,0.9983576176306945,0.001642382369305477,0.002758954189170595,-0.001116571819865118,3.364649831257005e-6,-1.183779264612994e-6
45,20,10,65,55,0.9939587152939909,0.9917939368769658,0.9978220640518406,0.0021779359481594544,0.003658606360315184,-0.0014806704121557296,4.5920365709583785e-6,-1.600143662683351e-6
45,20,11,65,54,1.014737207052957,1.0118285860635299,0.997133621425123,0.0028663785748770268,0.004815092357335914,-0.0019487137824588875,6.232399115456075e-6,-2.1494818799316917e-6
45,20,12,65,53,1.0376022056897396,1.033718017408117,0.9962565728365617,0.0037434271634383164,0.006288413759394752,-0.002544986595956435,8.410602566795433e-6,-2.868860830229636e-6
45,20,13,65,52,1.0627298579815816,1.0575750093124712,0.9951494270812143,0.004850572918785585,0.008148273714923035,-0.00329770079613745,1.1283881775063509e-5,-3.8036779013150834e-6
45,20,14,65,51,1.0903183383798034,1.0835198897894505,0.9937647122394957,0.006235287760504262,0.010474424585079039,-0.004239136824574777,1.5048261882907865e-5,-5.008822390295542e-6
45,20,15,65,50,1.120589125086971,1.1116792804180058,0.992048963826707,0.007951036173292908,0.013356689125614283,-0.005405652952321375,1.9945555838382645e-5,-6.549748748807538e-6
45,20,16,65,49,1.153788524662454,1.1421848148511624,0.9899429491945361,0.010057050805463895,0.016894585320525807,-0.0068375345150619125,2.6270742087747267e-5,-8.503356102695925e-6
45,20,17,65,48,1.1901894421757642,1.1751718237213766,0.9873821612575103,0.01261783874248968,0.021196499454360355,-0.008578660711870675,3.437943365044993e-5,-1.0958548503303689e-5
45,20,18,65,47,1.2300933833456962,1.2107779666559557,0.9842976013437248,0.01570239865627511,0.026378374314519903,-0.010675975658244793,4.469505449786193e-5,-1.4016337065769768e-5
45,20,19,65,46,1.2738326790997476,1.2491417940029643,0.9806168537658863,0.01938314623411373,0.032561908303418305,-0.013178762069304576,5.7715248406225994e-5,-1.7789341966167882e-5
45,20,20,65,45,1.3217729123370037,1.2904012063301487,0.9762654343162569,0.023734565683743134,0.03987229546202632,-0.016137729778283188,7.401697114028938e-5,-2.2400563231106396e-5
45,20,21,65,44,1.3743155301515664,1.3346917778890326,0.971168373351523,0.02883162664847698,0.04843557252193447,-0.01960394587345749,9.425966586323886e-5,-2.7981315416036878e-5
45,20,22,65,43,1.4319006320822556,1.3821449112032869,0.9652519736606202,0.03474802633937975,0.05837567339827065,-0.0236276470588909,0.00011918590073972668,-3.466826239073573e-5
