t,state,n,n_next,phi,G,e,D_agg,d_per,PD,Q_actual,V_rational,B_rational,bubble_share,Q_b_branch,crash_gap_Q,market_actual,V_agg,B_agg,crash_gap_market
10,u,1.972509564963714,2.133782724960965,0.5911980279796067,1.081760394404079,2.010874810581502,0.1098972775005828,0.05571444592848119,8.45740304156169,0.4711995244544611,0.4711995244544611,4.486466864092225e-23,9.521373921772322e-23,0.4310961319502795,0.04010339250418166,1.005437405290751,1.005437405290751,9.573145490709782e-23,0.08557192613775186
11,u,2.133782724960965,2.312876727916483,0.5803368335949142,1.083932633281017,2.051362067314612,0.1098297929363511,0.05147187276922037,8.615686116332386,0.4434654995993989,0.4434654995993989,6.653920341178079e-23,1.500436978116414e-22,0.401657755342737,0.04180774425666189,1.025681033657306,1.025681033657306,1.538969750652088e-22,0.09669615873791729
12,u,2.312876727916483,2.512064939175821,0.5693929363914405,1.086121412721712,2.093552651765915,0.1097532999457135,0.04745315589931288,8.781282099647703,0.416699548470428,0.416699548470428,9.821551609240108e-23,2.35698638150483e-22,0.3735546049735235,0.04314494349690451,1.046776325882958,1.046776325882958,2.467237544587794e-22,0.1083828998612957
13,u,2.512064939175821,2.73394233406724,0.5583764746061557,1.088324705078769,2.137513848496595,0.109667403631987,0.04365627732058854,8.954531982255684,0.3909215314934335,0.3909215314934335,1.442743428036104e-22,3.690621548842312e-22,0.3467875969272052,0.04413393456622827,1.068756924248298,1.068756924248298,3.944377335105199e-22,0.120659632079565
14,u,2.73394233406724,2.98147463171574,0.5472978808586477,1.090540423828271,2.183315347258946,0.1095717166179207,0.04007828374891607,9.135792728003208,0.3661468932241966,0.3661468932241966,2.109032305419674e-22,5.760071557205008e-22,0.3213519334535267,0.04479495977066988,1.091657673629474,1.091657673629474,6.288026316077719e-22,0.1335550361849794
15,u,2.98147463171574,3.258055392813738,0.5361678443347417,1.092766431133052,2.231029321922544,0.1094658609655959,0.03671534206635255,9.325438018767844,0.3423866467776304,0.3423866467776304,3.067910452188855e-22,8.960368288490433e-22,0.2972373122566139,0.04514933452101655,1.115514660961271,1.115514660961271,9.995422193423533e-22,0.1470990328181494
16,u,3.258055392813738,3.567572433524838,0.5249972707741566,1.095000545845169,2.280730512567672,0.1093494700995956,0.03356280262784564,9.523859033832769,0.3196474010079539,0.3196474010079539,4.440677699268981e-22,1.389242548278527e-21,0.2744281859032279,0.04521921510472604,1.140365256283836,1.140365256283836,1.584243934608052e-21,0.1613228252732506
17,u,3.567572433524838,3.914485145855565,0.5137972405679092,1.097240551886418,2.332496310939141,0.1092221907160623,0.03061526927657876,9.731465265312464,0.2979314295532141,0.2979314295532141,6.395675549504206e-22,2.146693807731306e-21,0.2529040665699834,0.04502736298323068,1.16624815546957,1.16624815546957,2.503577693624584e-21,0.1762589435549032
18,u,3.914485145855565,4.303914596170245,0.5025789652989412,1.099484206940212,2.386406849459665,0.109083684659871,0.0278666748232172,9.948685371314591,0.2772367801609216,0.2772367801609216,9.165145370237061e-22,3.305890857958013e-21,0.2326398706547355,0.04459690950618614,1.193203424729832,1.193203424729832,3.944600293498544e-21,0.1919412897677581
19,u,4.303914596170245,4.7417486060569,0.4913537430828054,1.101729251383439,2.442545094007257,0.1089336307520181,0.02531036067698707,10.17596806860465,0.2575574220538871,0.2575574220538871,1.306757358464164e-21,5.073654441962693e-21,0.213606297217754,0.04395112483613309,1.221272547003628,1.221272547003628,6.196314882952048e-21,0.2084051849263669
