t,Y_US,Y_endpoint,late_start,NFA,CA,VA,RES,CA_row_equity,CA_us_equity_liability,CA_bond,VA_row_equity_asset,VA_us_equity_liability,cum_CA,cum_VA,cum_RES,cum_CA_row_equity,cum_CA_us_equity_liability,cum_CA_bond,cum_VA_row_equity_asset,cum_VA_us_equity_liability,ahp_rebased_NFA_change_current_Y,ahp_cum_CA_current_Y,ahp_cum_VA_current_Y,ahp_cum_RES_current_Y,dNFA_over_current_Y,CA_over_current_Y,VA_over_current_Y,RES_over_current_Y,periodnorm_cum_dNFA,periodnorm_cum_CA,periodnorm_cum_VA,periodnorm_cum_RES,late_NFA_change_endpoint_Y,late_cum_CA_endpoint_Y,late_cum_VA_endpoint_Y,late_cum_RES_endpoint_Y,late_cum_CA_row_equity_endpoint_Y,late_cum_CA_us_equity_liability_endpoint_Y,late_cum_CA_bond_endpoint_Y,late_cum_VA_row_equity_asset_endpoint_Y,late_cum_VA_us_equity_liability_endpoint_Y
11.0,3.1138064549082984,41.710772390285946,17.0,-0.4682197170031026,-0.016579145538015566,-0.03719605943155764,-1.3877787807814457e-17,0.06896653618593138,-0.07663844095360983,-0.00890724077033711,-0.0008860182348626282,-0.036310041196695016,-0.11949734012331643,-0.2878881597459345,1.0408340855860843e-17,0.42327286007192155,-0.5026127698370444,-0.04015743035819341,-0.023891012719374487,-0.26399714702655996,-0.1308319915732362,-0.038376611344919195,-0.092455380228317,3.342642199053238e-18,-0.017269925330396587,-0.005324398217455626,-0.011945527112940956,-4.456856265404318e-18,-0.17126654990584536,-0.04999673479301513,-0.12126981511283029,1.1266987341802362e-17,0.009911792682021608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,3.3666789968714,41.710772390285946,17.0,-0.5258769864992856,-0.018038489589801393,-0.039618779906381525,-7.632783294297951e-17,0.07765558626986108,-0.08555960833963583,-0.010134467520026641,-0.0006163547779706401,-0.039002425128410886,-0.13753582971311784,-0.32750693965231603,-6.591949208711867e-17,0.5009284463417827,-0.5881723781766802,-0.050291897878220054,-0.024507367497345126,-0.30299957215497086,-0.13813100975697137,-0.040852077029300285,-0.09727893272767107,-1.957997544416221e-17,-0.017125858910149425,-0.0053579475817457705,-0.011767911328403633,-2.2671550514293083e-17,-0.18839240881599478,-0.0553546823747609,-0.13303772644123393,-1.1404563172490721e-17,0.008529481442213188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,3.652700707415275,41.710772390285946,17.0,-0.5876922116898985,-0.01958450668609789,-0.04223071850451516,1.5959455978986625e-16,0.08744784274419042,-0.09558381425264545,-0.011448535177642855,-0.000342589598359247,-0.04188812890615591,-0.15712033639921574,-0.3697376581568312,9.367506770274758e-17,0.5883762890859731,-0.6837561924293256,-0.06174043305586291,-0.024849957095704374,-0.34488770106112676,-0.14423793153555747,-0.04301483997313245,-0.10122309156242507,2.5645426550436966e-17,-0.01692315635527516,-0.005361651078156984,-0.01156150527711822,4.3692208197040754e-17,-0.20531556517126995,-0.06071633345291788,-0.14459923171835215,3.228764502455003e-17,0.007047484786476142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,3.9761261928544327,41.710772390285946,17.0,-0.6539339372710565,-0.021192254841934974,-0.04504947073922307,6.938893903907228e-18,0.09850509527317097,-0.10683165057992937,-0.012865699535176578,-5.834805284843457e-5,-0.04499112268637464,-0.17831259124115073,-0.41478712889605424,1.0061396160665481e-16,0.686881384359144,-0.790587843009255,-0.07460613259103949,-0.024908305148552808,-0.3898788237475014,-0.1491652154308067,-0.044845807852275786,-0.10431940757853098,2.530451920451367e-17,-0.01665986499628765,-0.005329874811322627,-0.011329990184965024,1.7451392554837013e-18,-0.2219754301675576,-0.06604620826424051,-0.15592922190331718,3.403278428003373e-17,0.00545936445723992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,4.341854202280783,41.710772390285946,17.0,-0.7248570455550016,-0.02282855642065794,-0.048094551863287247,8.326672684688674e-17,0.11101330419213189,-0.11943892243261728,-0.014402938180172548,0.00024298706954856698,-0.048337538932835815,-0.20114114766180868,-0.4628816807593415,1.8388068845354155e-16,0.7978946885512759,-0.9100267654418723,-0.08900907077121203,-0.02466531807900424,-0.4382163626803372,-0.1529353123078932,-0.0463260944036649,-0.10660921790422834,4.2350728487600696e-17,-0.016334751232938472,-0.005257789726948008,-0.011076961505990482,1.9177688371743712e-17,-0.2383101814004961,-0.07130399799118853,-0.16700618340930767,5.321047265177744e-17,0.0037590097474225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,4.7555257080128746,41.710772390285946,17.0,-0.8006947224880565,-0.024450131079159443,-0.05138754585389534,-9.020562075079397e-17,0.12518652676212325,-0.13355839810068085,-0.01607825974060184,0.0005684988735492886,-0.05195604472744463,-0.22559127874096813,-0.5142692266132368,9.367506770274758e-17,0.9230812153133992,-1.0435851635425533,-0.10508733051181388,-0.02409681920545495,-0.49017240740778184,-0.15557912011863775,-0.047437716162664345,-0.10814140395597344,1.9698151887794185e-17,-0.015947275146735378,-0.0051414149728939386,-0.010805860173841421,-1.896859070676477e-17,-0.2542574565472315,-0.07644541296408247,-0.1778120435831491,3.424188194501267e-17,0.001940830112112827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,5.223638407197797,41.710772390285946,17.0,-0.8816482455426078,-0.026001249096229972,-0.05495227395832115,-1.5959455978986625e-16,0.1412715106708482,-0.1493617655421834,-0.017910994224894783,0.0009259749953041251,-0.055878248953625274,-0.2515925278371981,-0.569221500571558,-6.591949208711867e-17,1.0643527259842473,-1.1929469290847368,-0.12299832473670866,-0.023170844210150823,-0.5460506563614071,-0.15713454194642065,-0.04816423117850611,-0.10897031076791452,-1.2619459263544423e-17,-0.01549753576798179,-0.004977612742184093,-0.010519923025797667,-3.055237505910755e-17,-0.26975499231521327,-0.08142302570626657,-0.18833196660894674,3.689506885905121e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,5.753680475166165,41.710772390285946,17.0,-0.9678741801447008,-0.02741089030739785,-0.058815044294695286,9.020562075079397e-17,0.15955308362968337,-0.16704186056380904,-0.019922113373272182,0.0013241608917853034,-0.06013920518648059,-0.27900341814459595,-0.6280365448662533,2.42861286636753e-17,1.2239058096139308,-1.3599887896485459,-0.14292043810998084,-0.02184668331836552,-0.6061898615478878,-0.15764517458447397,-0.04849129515426183,-0.10915387943021214,4.220972778814924e-18,-0.014986222292714796,-0.004764061964460449,-0.010222160328254362,1.5677898892741144e-17,-0.28474121460792806,-0.08618708767072703,-0.1985541269372011,1.9367405778646266e-17,-0.002067234185818488,-0.0006571657328930594,-0.001410068452925431,2.1626456567800703e-18,0.0038252248636575672,-0.00400476545964686,-0.00047762513690376683,3.174625680376248e-5,-0.0014418147097291934
19.0,6.354286929235507,41.710772390285946,17.0,-1.05946838481356,-0.028589269350515006,-0.06300493531834403,-1.1102230246251565e-16,0.18036046782256288,-0.18681518193581673,-0.022134555237261155,0.0017730462067809447,-0.06477798152512497,-0.30759268749511093,-0.6910414801845973,-8.673617379884035e-17,1.4042662774364936,-1.5468039715843627,-0.165054993347242,-0.020073637111584577,-0.6709678430730127,-0.1571591240372042,-0.04840711332689501,-0.10875201071030915,-1.3650024741529212e-17,-0.014414552834786603,-0.004499209694006471,-0.009915343140780115,-1.747203166915739e-17,-0.29915576744271466,-0.09068629736473349,-0.2084694700779812,1.8953741094888742e-18,-0.004263170617103337,-0.0013425826578784424,-0.0029205879592248945,-4.990720746415547e-19,0.008149298897457217,-0.008483588824215488,-0.0010082927311201733,7.42543693409897e-5,-0.0029948423285658843
20.0,7.035422577616995,41.710772390285946,17.0,-1.1564460599059236,-0.029423590633980284,-0.06755408445838323,-1.3877787807814457e-16,0.20407468269160384,-0.2089247224970415,-0.024573550828542623,0.0022841998910111865,-0.06983828434939442,-0.3370162781290912,-0.7585955646429805,-2.255140518769849e-16,1.6083409601280974,-1.755728694081404,-0.18962854417578462,-0.01778943722057339,-0.7408061274224071,-0.1557279368346304,-0.047902776899471436,-0.10782515993515893,-3.205408763852391e-17,-0.013784200454553431,-0.004182206585229242,-0.00960199386932417,-1.972559239293779e-17,-0.3129399678972681,-0.09486850394996274,-0.21807146394730537,-1.7830218283448915e-17,-0.006588173716661112,-0.002048002120233754,-0.004540171596427354,-3.826219238918586e-18,0.013041912267981397,-0.013492480065598928,-0.0015974343226162248,0.0001290171982245698,-0.0046691887946519245
